FUND,ISIN
YetAnotherFund,929712605G89
YetAnotherFund,19I4R049L2UA
NiceGrowth,19I4R049L2UA
NiceGrowth,0R63Y0QRM233
AnotherFund,Y3830Y4FQ1U2
AnotherFund,S97U02485ZHA
AnotherFund,20357539ZC31
BigEquityReturns,P2MIUV64Y9U7
QuickCashStrategy,JC5513F19J2E
EuroSwaps,LF4O6N26544R
YetAnotherFund,95NMDUQ25N86
EuroSwaps,99329VU4B5UF
NiceGrowth,C887465Y1ZX6
EuroBonds,2I6O0OD33L0V
QuickCashStrategy,9292R91W7353
BigEquityReturns,9292R91W7353
AnotherFund,3WKK493D2736
EuroSwaps,3WKK493D2736
AnotherFund,S21A06Q80387
BigEquityReturns,I57KM9X7JL29
EuroSwaps,I57KM9X7JL29
AnotherFund,6FP6X2A4S847
YetAnotherFund,6FP6X2A4S847
EuroSwaps,93Y4V95R5215
BigEquityReturns,3H0PFI21P4NE
EuroSwaps,2M9KP0P06PCD
AnotherFund,2M9KP0P06PCD
QuickCashStrategy,G29E6FE5C7V3
NiceGrowth,F1H216L66096
QuickCashStrategy,F1H216L66096
NiceGrowth,777B4G5045N2
AnotherFund,777B4G5045N2
YetAnotherFund,C200J7A39NM6
EuroBonds,703882H48FQ8
EuroSwaps,703882H48FQ8
EuroSwaps,6T88S332D284
NiceGrowth,6T88S332D284
QuickCashStrategy,V5813E774061
YetAnotherFund,54KN1LZR9H8C
EuroSwaps,036214D7R06I
AnotherFund,036214D7R06I
AnotherFund,1407JLD364Z4
YetAnotherFund,NI2PGJJ53W09
EuroSwaps,NI2PGJJ53W09
AnotherFund,G07069N47Q9W
EuroSwaps,G07069N47Q9W
YetAnotherFund,5593U69I1L94
BigEquityReturns,5593U69I1L94
EuroSwaps,3Z09P2P21889
YetAnotherFund,03E497F2I0SB
YetAnotherFund,MCCB4C8304W3
AnotherFund,MCCB4C8304W3
NiceGrowth,96J3685Z7356
EuroSwaps,519KW5686076
BigEquityReturns,519KW5686076
EuroBonds,6I434532D529
AnotherFund,BR1F65OPJQ0A
EuroSwaps,6T33K5X3T68O
AnotherFund,O6AE8B140TC5
NiceGrowth,O6AE8B140TC5
EuroBonds,JH8N71R4J99J
QuickCashStrategy,JH8N71R4J99J
QuickCashStrategy,E9IS726W0992
NiceGrowth,E9IS726W0992
EuroSwaps,54LED01064B0
BigEquityReturns,C5H86UR23SL9
QuickCashStrategy,C5H86UR23SL9
AnotherFund,AP9Z47I45138
EuroSwaps,S3KM18F5M557
EuroBonds,S3KM18F5M557
EuroBonds,3K5KH9CA63I4
QuickCashStrategy,F5941W197R42
YetAnotherFund,SC4Y786VZX74
AnotherFund,34E5H0250F33
QuickCashStrategy,34E5H0250F33
EuroSwaps,9MU815390JWS
EuroBonds,9MU815390JWS
QuickCashStrategy,8177P376727Z
YetAnotherFund,8177P376727Z
AnotherFund,1121P647ZT46
AnotherFund,9A25956072U4
NiceGrowth,9A25956072U4
AnotherFund,860A27Q976MK
BigEquityReturns,860A27Q976MK
EuroBonds,83GD1QDF7DM1
QuickCashStrategy,83GD1QDF7DM1
EuroBonds,97ZDE7980WXB
QuickCashStrategy,97ZDE7980WXB
NiceGrowth,8T66ECX765MM
YetAnotherFund,Z452M02SFR7N
YetAnotherFund,V923MK54MD72
BigEquityReturns,QE3XS1KW2TE0
AnotherFund,QE3XS1KW2TE0
QuickCashStrategy,23988A827O08
NiceGrowth,23988A827O08
AnotherFund,6TL9JG721SD6
QuickCashStrategy,6TL9JG721SD6
QuickCashStrategy,4V1TO779DQ0A
EuroBonds,ZU96993L6QPN
EuroSwaps,ZU96993L6QPN
QuickCashStrategy,Q6016JH461B8
NiceGrowth,428Y16331952
BigEquityReturns,5817741966TA
NiceGrowth,5817741966TA
YetAnotherFund,SCN941E76149
YetAnotherFund,A0EAYW2LW4H8
BigEquityReturns,A0EAYW2LW4H8
EuroBonds,5IC838258EQO
EuroSwaps,6VDWI1XX4Y4G
BigEquityReturns,A72924733LLH
QuickCashStrategy,A72924733LLH
QuickCashStrategy,5DR1TZ4Z3RYC
BigEquityReturns,3F54GA484EO2
NiceGrowth,NP3556Q5TN35
QuickCashStrategy,NP3556Q5TN35
EuroBonds,1O279H63407B
EuroSwaps,DE9B8K23M8N8
NiceGrowth,DE9B8K23M8N8
QuickCashStrategy,6L49266V99W0
NiceGrowth,8K81P3871MU5
QuickCashStrategy,EH2B23XUY894
EuroSwaps,7P8I9268T443
QuickCashStrategy,6DK1K15E4Z3G
EuroBonds,W0854SNUYD74
QuickCashStrategy,W0854SNUYD74
EuroSwaps,3F66JREX8X65
YetAnotherFund,3F66JREX8X65
EuroSwaps,K93ZM60ZNK17
QuickCashStrategy,ERZHBFG5644X
YetAnotherFund,ERZHBFG5644X
EuroSwaps,6UE6481B4M4M
AnotherFund,YL71XEN305HW
BigEquityReturns,YL71XEN305HW
YetAnotherFund,6YU52GI5I5V9
BigEquityReturns,6YU52GI5I5V9
AnotherFund,265O8A1DS85G
AnotherFund,O0ECGW997222
YetAnotherFund,G8V0S98AK167
AnotherFund,G8V0S98AK167
QuickCashStrategy,U40682I210Q7
BigEquityReturns,U40682I210Q7
YetAnotherFund,KP97515N620R
EuroBonds,KP97515N620R
EuroBonds,SDGW5XFS00T9
AnotherFund,SDGW5XFS00T9
EuroSwaps,3605R61K7EZ4
EuroSwaps,8DB97946164T
EuroSwaps,444U1RZ1645J
NiceGrowth,444U1RZ1645J
NiceGrowth,Y1V521611SFT
BigEquityReturns,6Z4L32HO8QA7
NiceGrowth,G954ZYFP7C53
EuroSwaps,G954ZYFP7C53
EuroBonds,4LDW42R5Y94L
BigEquityReturns,4LDW42R5Y94L
AnotherFund,1RR7QJ61998B
EuroBonds,PAF1YU4NX8Z4
AnotherFund,II4M7E9GQQ3M
NiceGrowth,H3JTK9NL97CX
YetAnotherFund,H3JTK9NL97CX
BigEquityReturns,D0T15T254V6V
EuroBonds,D0T15T254V6V
EuroBonds,49H226L7J583
QuickCashStrategy,5A3LS15266M3
NiceGrowth,020AF50J2MEM
AnotherFund,R7P4QFM1M53R
EuroSwaps,Y176TZ7JB914
YetAnotherFund,6TDT6Q5IJ970
EuroSwaps,4G9P1NC4503E
EuroBonds,4G9P1NC4503E
QuickCashStrategy,98756N13714G
AnotherFund,98756N13714G
AnotherFund,JETX6297VKB7
QuickCashStrategy,JETX6297VKB7
AnotherFund,03J04537KLUL
AnotherFund,3690SPI87M94
QuickCashStrategy,CY4VH1L9660E
EuroBonds,7N7Y10Q87IC1
YetAnotherFund,7N7Y10Q87IC1
NiceGrowth,4K70612MIKY9
YetAnotherFund,4K70612MIKY9
NiceGrowth,L42UKLHBI2Y3
BigEquityReturns,S0FR69Q232E4
QuickCashStrategy,S0FR69Q232E4
QuickCashStrategy,Q031D73H2912
EuroBonds,QC1P936I2976
YetAnotherFund,RVJ490X1P4V6
EuroBonds,RVJ490X1P4V6
EuroSwaps,862QH68TS8C2
EuroBonds,862QH68TS8C2
YetAnotherFund,N06846I6J1LG
BigEquityReturns,YW88Z5V1G525
QuickCashStrategy,097DQ4Z3HJ49
BigEquityReturns,72A312M04DJZ
NiceGrowth,72A312M04DJZ
BigEquityReturns,EQ1EYB94R5G5
QuickCashStrategy,EQ1EYB94R5G5
QuickCashStrategy,WT8434HCK4NG
NiceGrowth,2SJ21D9L53OJ
AnotherFund,2NK6ROYRVN68
EuroBonds,Q16X85QRH04D
BigEquityReturns,28O6364XK6Z4
AnotherFund,3860D59QHEX4
EuroSwaps,3860D59QHEX4
EuroBonds,016LG61G7NH7
NiceGrowth,S1Z2ET78VE7T
BigEquityReturns,821FD83JP606
NiceGrowth,65OQ6ZU69Z5L
AnotherFund,942H0YKEVE87
NiceGrowth,942H0YKEVE87
BigEquityReturns,7ZKLC9F5BVM8
BigEquityReturns,BU242C9867C4
EuroSwaps,20OI5RI10038
AnotherFund,20OI5RI10038
EuroSwaps,VUQ5J4K990KZ
EuroSwaps,9L9CO5F3214O
BigEquityReturns,Z725W4Z5E952
EuroBonds,00I81LS204RJ
NiceGrowth,9DHI4A163SOF
BigEquityReturns,N9P44059P4RM
EuroSwaps,N9P44059P4RM
EuroBonds,433QVP81J34A
BigEquityReturns,3VR2496C61L5
NiceGrowth,56KV56054828
EuroBonds,93FCN64ZN29Z
AnotherFund,93FCN64ZN29Z
EuroBonds,2L596EYF91KK
NiceGrowth,2L596EYF91KK
NiceGrowth,6808U6424BIB
BigEquityReturns,786428J079O6
AnotherFund,88834I02Z41O
BigEquityReturns,1MY92599TDUE
AnotherFund,509O58D95O58
NiceGrowth,509O58D95O58
QuickCashStrategy,69BMDX7Y3CH7
NiceGrowth,69BMDX7Y3CH7
BigEquityReturns,51JJ56O17506
EuroSwaps,51JJ56O17506
NiceGrowth,07UOE24Z1E45
YetAnotherFund,07UOE24Z1E45
AnotherFund,23X3379Q0JX6
BigEquityReturns,23X3379Q0JX6
AnotherFund,886RUWS24B34
QuickCashStrategy,076274V59851
BigEquityReturns,076274V59851
QuickCashStrategy,7VUWET69OT42
EuroBonds,7VUWET69OT42
QuickCashStrategy,2A82205822EZ
AnotherFund,2A82205822EZ
QuickCashStrategy,XTYM776I5WU3
AnotherFund,XTYM776I5WU3
BigEquityReturns,91046F56V2VX
YetAnotherFund,91046F56V2VX
BigEquityReturns,0D498816R18Y
EuroSwaps,0D498816R18Y
EuroBonds,R059TBD33JU2
EuroSwaps,R059TBD33JU2
AnotherFund,1S34EKGPZ359
EuroSwaps,X17CB3SO60P7
BigEquityReturns,174286666K56
NiceGrowth,174286666K56
YetAnotherFund,L29N38L49LN1
BigEquityReturns,B81VT90826W4
EuroBonds,2EU93NZGK3C1
AnotherFund,2EU93NZGK3C1
QuickCashStrategy,228FO200XQMM
NiceGrowth,228FO200XQMM
QuickCashStrategy,JA7J05FZR1XJ
EuroSwaps,JA7J05FZR1XJ
NiceGrowth,654V537877U0
QuickCashStrategy,654V537877U0
QuickCashStrategy,130Y52060ZJT
QuickCashStrategy,7KPU6801058J
EuroSwaps,M9G4N30990JO
AnotherFund,6FV968ON6080
QuickCashStrategy,B14K549DB3Z7
QuickCashStrategy,2A8Y97E850H6
YetAnotherFund,2A8Y97E850H6
EuroSwaps,O9Y70A00931R
YetAnotherFund,O9Y70A00931R
EuroBonds,6829UJ30CW85
AnotherFund,6829UJ30CW85
NiceGrowth,83N5C6611H0G
QuickCashStrategy,4OTEP6QM9BF6
AnotherFund,4OTEP6QM9BF6
EuroBonds,W04T2XG1S576
BigEquityReturns,63HH5GZ13877
QuickCashStrategy,63HH5GZ13877
AnotherFund,518BQN13NB00
EuroBonds,518BQN13NB00
QuickCashStrategy,5TUKP1XZALJ8
NiceGrowth,5TUKP1XZALJ8
QuickCashStrategy,B289X6NM3G3H
EuroBonds,B289X6NM3G3H
BigEquityReturns,61778Z931K33
AnotherFund,IYM984AAK14D
QuickCashStrategy,PM55I032192R
EuroBonds,PM55I032192R
NiceGrowth,NHJF7L1Y86JQ
NiceGrowth,969K21S07330
AnotherFund,969K21S07330
NiceGrowth,E199473TG2YT
EuroBonds,E199473TG2YT
AnotherFund,S1LRO106Y407
AnotherFund,2SEI4690T07S
BigEquityReturns,58215B98Y655
EuroSwaps,812A429U61ZF
AnotherFund,76714D8Y0D72
NiceGrowth,76714D8Y0D72
YetAnotherFund,79VW6I7L85V7
EuroSwaps,79VW6I7L85V7
QuickCashStrategy,B78979E8105F
NiceGrowth,B78979E8105F
EuroSwaps,L504X407U9C1
QuickCashStrategy,L504X407U9C1
BigEquityReturns,643368T96U0I
EuroSwaps,643368T96U0I
QuickCashStrategy,369777LA7SHM
NiceGrowth,3CIR1S9SGPFZ
QuickCashStrategy,3CIR1S9SGPFZ
NiceGrowth,2MWA434F82CA
AnotherFund,2MWA434F82CA
EuroBonds,2T705046AB00
QuickCashStrategy,2T705046AB00
NiceGrowth,0452R7BQ4AD0
AnotherFund,46842258I38B
NiceGrowth,46842258I38B
EuroSwaps,H3229746SC2F
EuroSwaps,3U6LI2926E10
AnotherFund,3U6LI2926E10
EuroSwaps,1WJNL1705DX7
BigEquityReturns,1WJNL1705DX7
EuroBonds,4RO2671IV0UJ
NiceGrowth,4RO2671IV0UJ
YetAnotherFund,678ZDA1WS4SD
BigEquityReturns,31AVQCF007OW
BigEquityReturns,08417445M901
EuroBonds,O037UAE4X3K0
AnotherFund,9820B1D8157F
EuroBonds,9820B1D8157F
EuroSwaps,LK7UMK7152Z5
AnotherFund,LK7UMK7152Z5
EuroSwaps,27337Q3F1ZQ6
BigEquityReturns,27337Q3F1ZQ6
YetAnotherFund,UPMVH631A80D
AnotherFund,UPMVH631A80D
AnotherFund,B0139LR526ZZ
NiceGrowth,D670K3Z8KZZ3
NiceGrowth,ANW12O25XXK0
BigEquityReturns,7X44FL5P8DN4
NiceGrowth,VEZ48272X449
AnotherFund,VEZ48272X449
AnotherFund,09Q2539PV1HO
BigEquityReturns,56XUB09478P5
AnotherFund,56XUB09478P5
EuroSwaps,WOF3MRJRBO6T
AnotherFund,WOF3MRJRBO6T
AnotherFund,1N8M9MM22O98
BigEquityReturns,9XXI97587E6D
YetAnotherFund,91L5T481Z1F5
NiceGrowth,4UX2TC12F9B3
YetAnotherFund,01TP240EU9C7
BigEquityReturns,01TP240EU9C7
EuroSwaps,9807CG74R85F
NiceGrowth,Q6262D3D08W4
NiceGrowth,5R03L444H10Q
EuroBonds,5R03L444H10Q
NiceGrowth,6707R4TT0B96
QuickCashStrategy,120975WO8U12
BigEquityReturns,120975WO8U12
EuroBonds,11E40XBWW84F
QuickCashStrategy,7BI1B3P769DI
YetAnotherFund,ZG263751GW9O
BigEquityReturns,150I22O30CWV
EuroSwaps,150I22O30CWV
QuickCashStrategy,3342M71S7324
EuroSwaps,Q3Q91YH69YSM
BigEquityReturns,3WZZ5N6TS6B9
AnotherFund,15332RV023P7
YetAnotherFund,RUBC2E491469
AnotherFund,516093I039QM
EuroSwaps,6I991GZG44B9
NiceGrowth,6I991GZG44B9
AnotherFund,70EA4104W9BE
YetAnotherFund,4U2917651009
QuickCashStrategy,92WCX737GO74
NiceGrowth,3122762Q7201
EuroSwaps,3122762Q7201
QuickCashStrategy,D2IT1BNB666H
AnotherFund,90KM043Y3132
EuroSwaps,90KM043Y3132
BigEquityReturns,4V031Y2W3149
EuroBonds,2IJ625128121
EuroSwaps,2IJ625128121
AnotherFund,HP71OFM80B2X
BigEquityReturns,HP71OFM80B2X
YetAnotherFund,GHC0QH883RI4
NiceGrowth,H7D911018917
NiceGrowth,IG4G9E1RTO56
BigEquityReturns,IG4G9E1RTO56
EuroSwaps,MSWX6966F01U
YetAnotherFund,MSWX6966F01U
QuickCashStrategy,5094R7DL197N
YetAnotherFund,H7Q6605OY6I9
BigEquityReturns,55G1ZP3L3448
BigEquityReturns,115J55586PY3
YetAnotherFund,S94Z2MUD731T
AnotherFund,S94Z2MUD731T
AnotherFund,3J0M3R59BU83
YetAnotherFund,1V668C4I268D
QuickCashStrategy,OHI737R8TVK0
EuroBonds,OHI737R8TVK0
BigEquityReturns,90QRX2472337
EuroSwaps,A377ESS34B27
NiceGrowth,BX146233A681
QuickCashStrategy,BX146233A681
BigEquityReturns,DFU033593OEH
NiceGrowth,88098091KW72
EuroSwaps,I01M31420L64
AnotherFund,8I9053R444CB
QuickCashStrategy,8I9053R444CB
EuroBonds,84H152D7MNO1
EuroBonds,PRCT9408SD48
EuroSwaps,4626I346H67C
EuroBonds,4626I346H67C
AnotherFund,71089751MWZC
NiceGrowth,71089751MWZC
AnotherFund,B16402T1YV3E
BigEquityReturns,4C5U69BP3F94
QuickCashStrategy,4C5U69BP3F94
EuroSwaps,37WZ34K5Y0N6
BigEquityReturns,37WZ34K5Y0N6
BigEquityReturns,1H47HR42RG7M
QuickCashStrategy,1H47HR42RG7M
YetAnotherFund,0248379731X2
EuroBonds,0248379731X2
EuroBonds,9F25939J38H9
AnotherFund,9F25939J38H9
EuroSwaps,SXRJ3614XYN2
QuickCashStrategy,8U97YT4B0192
NiceGrowth,8U97YT4B0192
EuroBonds,06727R807FH2
EuroSwaps,043J23Y28NA3
YetAnotherFund,043J23Y28NA3
AnotherFund,Y02186BU2LA1
QuickCashStrategy,1ZS3665TC086
BigEquityReturns,1ZS3665TC086
YetAnotherFund,5P4M3274YQQM
QuickCashStrategy,4KU7XLSD7000
BigEquityReturns,4KU7XLSD7000
BigEquityReturns,MZ161GZ6N25B
QuickCashStrategy,MZ161GZ6N25B
BigEquityReturns,9P783Z3154Z1
YetAnotherFund,W97G3E81FP89
AnotherFund,W97G3E81FP89
AnotherFund,2GIHEN67Q1E8
YetAnotherFund,3EP4I8P9CA9G
BigEquityReturns,1L43V46681I4
EuroBonds,1L43V46681I4
QuickCashStrategy,G47G95NSXL5O
BigEquityReturns,30BXF9336QC7
QuickCashStrategy,FM2003069744
EuroSwaps,Q20NV9HY0PI3
